match_id,victoires_dom_5,nuls_dom_5,defaites_dom_5,victoires_ext_5,nuls_ext_5,defaites_ext_5,buts_marques_dom_moy,buts_encaisses_dom_moy,buts_marques_ext_moy,buts_encaisses_ext_moy,h2h_dom_wins,h2h_nuls,h2h_ext_wins,resultat
2,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
3,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
4,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
5,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,1
1,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
6,0,0,1,1,0,0,0,2,2,1,0,0,0,0
7,0,0,1,1,0,0,1,2,3,1,0,0,0,0
8,1,0,0,0,0,1,2,0,0,1,0,0,0,1
9,0,0,1,0,1,0,1,3,1,1,0,0,0,0
10,1,0,0,0,0,0,1,0,1.2,1.2,0,0,0,1
11,2,0,0,2,0,0,2,0.5,2,0.5,0,0,0,1
12,0,1,1,0,0,2,0,0.5,0,2,0,0,0,2
13,1,1,0,0,0,2,2,0.5,0.5,1.5,0,0,0,2
14,0,1,0,1,1,0,1,1,1,0,0,0,0,2
15,0,1,0,0,0,2,1,1,0.5,3,0,0,0,1
16,1,1,1,2,1,0,0.67,0.67,2,1,0,0,0,2
17,2,1,0,2,1,0,2,1,1.67,0.33,0,0,0,0
18,0,0,3,1,1,0,0.33,2,2,0.5,0,0,0,0
19,0,0,3,0,2,0,0.33,1.33,1,1,0,0,0,2
20,1,1,1,1,1,0,0.67,1,1,0.5,0,0,0,0
21,2,1,1,3,1,0,1.5,1,2,0.25,0,0,0,1
22,2,1,0,2,1,1,2,0.67,0.75,0.5,0,0,0,1
23,0,2,1,2,1,1,0.67,1.67,1.5,1.5,0,0,0,1
24,2,1,0,0,0,4,1,0.33,0.5,2,0,0,0,1
25,0,1,2,1,0,3,0.67,2.33,1,1,0,0,0,1
26,2,2,0,2,2,1,1.5,0.5,1.4,1,0,0,0,0
27,3,2,0,0,3,1,1.8,0.4,0.75,1.5,0,1,0,2
28,2,2,1,2,2,0,0.6,0.4,1.25,0.75,0,0,1,1
29,2,2,1,0,2,2,1.4,1.4,0.75,2,1,0,0,1
30,0,1,4,1,1,2,0.8,2,0.5,1,0,0,1,0
31,2,2,1,0,3,2,1.33,0.83,0.6,1.6,0,0,0,2
32,2,3,0,2,2,1,1.4,1,1.2,0.6,0,1,0,2
33,0,3,2,4,1,0,1,2,1.83,0.33,0,0,1,2
34,2,1,2,2,3,0,0.8,1,0.83,0.67,0,1,0,2
35,1,1,3,1,3,1,1,1,1.5,1.5,0,0,1,0
36,2,3,0,2,2,1,1.5,1,1.43,0.86,0,0,0,0
37,0,2,3,1,3,1,0.67,1.67,1,1.67,0,1,0,0
38,2,1,2,2,1,2,1.17,0.83,1.17,0.83,1,0,0,1
39,3,1,1,1,1,3,1.57,0.43,0.83,1.17,1,0,0,2
40,2,2,1,0,1,4,0.71,1,0.83,2,1,0,0,0
41,3,1,1,2,3,0,1.63,0.88,1.14,1.43,0,0,0,2
42,2,1,2,2,2,1,1.14,0.86,1.43,1.29,0,0,1,0
43,1,1,3,0,1,4,0.86,1.43,0.57,1.71,1,0,0,2
44,1,1,3,1,2,2,1,1.71,1.14,0.86,0,0,1,2
45,1,3,1,3,1,1,1.57,1.29,1.75,0.5,0,0,1,2
46,2,1,2,4,1,0,1.13,1,1.67,0.89,0,0,0,0
47,2,2,1,2,1,2,1.13,1.5,0.88,1.25,0,1,0,1
48,2,2,1,2,1,2,1.5,1.25,1.13,1.5,0,1,0,1
49,0,1,4,2,2,1,0.5,1.63,1.63,1.13,0,1,0,1
50,0,2,3,1,2,2,1,1,0.63,1.13,0,1,0,2
51,5,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,1
52,2,2,1,0,0,0,1.2,1.2,1.2,1.2,0,0,0,1
53,2,3,0,2,2,1,1.2,1.2,1.2,1.2,1,1,0,1
54,0,2,3,2,2,1,1.2,1.2,1.2,1.2,0,1,1,2
55,2,1,2,0,1,4,1.2,1.2,1.2,1.2,1,1,0,2
56,1,1,3,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
57,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,0
58,0,0,0,0,0,0,1.2,1.2,1.2,1.2,0,0,0,2
59,2,2,1,4,1,0,1,1,2,2,0,0,1,2
60,0,1,0,2,3,0,2,2,1,1,0,0,0,1
61,0,1,0,1,1,3,1,1,1,0,0,0,0,1
62,2,2,1,3,0,2,1,1,2,0,1,0,1,1
63,2,1,2,1,1,3,0,1,1,2,1,1,0,2
64,0,1,4,0,0,1,0,2,0,2,0,0,0,2
65,1,0,0,1,0,0,2,1,1,0,0,0,0,2
66,1,0,0,0,0,1,2,0,0,1,0,0,0,2
67,3,1,1,2,3,0,1,2,1,1,0,1,0,2
68,1,1,3,3,2,0,1,0.5,1.5,0.5,1,0,1,0
69,2,1,2,0,2,0,1.5,0.5,1.5,1.5,0,0,0,1
70,1,1,3,0,2,0,1,2,1,1,0,0,0,0
71,0,0,2,1,3,1,0.5,2.5,1,1,0,0,0,0
72,1,0,1,2,1,2,1,1.5,1,1,0,0,0,2
73,0,0,2,1,1,3,0.5,1.5,1.5,1.5,0,0,0,1
74,2,0,0,2,0,0,2,0.5,2.5,1,0,0,0,2
75,1,1,3,3,1,1,1,1,1.67,1.33,1,0,0,2
76,1,3,1,2,2,1,0.67,1.67,1.33,0.67,1,0,1,2
77,3,2,0,1,0,4,1.67,0.67,0.67,2.33,1,0,1,2
78,0,3,0,0,0,3,1.33,1.33,0.33,2.67,0,0,0,1
79,1,2,0,2,0,1,1.67,0.67,1.67,1,0,0,0,0
80,1,3,1,0,1,2,1.67,0.67,1,1.67,0,0,0,2
81,2,1,2,3,0,0,0.67,1.67,2.33,0.67,0,0,0,1
82,1,2,2,2,0,1,1.67,1.67,2,1.67,0,0,0,2
83,2,1,2,1,2,2,1.5,1.75,1,0.75,0,1,0,2
84,1,0,4,2,1,2,0.5,2,1.5,1,1,1,0,0
85,0,1,3,1,3,1,0.5,2.25,0.75,1.25,0,0,0,1
86,3,0,1,3,2,0,1.75,0.75,1.5,0.5,0,0,0,2
87,0,1,3,0,4,0,0.75,2,1.25,1.25,0,0,0,1
88,3,1,0,1,2,1,2.25,1,1.25,1,0,0,0,2
89,2,0,2,2,3,0,1.75,1.75,2,0.5,0,0,0,2
90,2,2,1,1,2,2,1.75,1.5,1,1.75,0,0,0,2
91,0,0,5,2,1,2,0.6,2.2,1.6,1.4,0,0,1,2
92,1,2,2,0,2,3,0.8,1,0.6,2,0,0,0,2
93,3,1,1,4,0,1,1.8,1,1.8,0.8,0,0,0,0
94,1,3,1,0,2,3,0.8,1.2,1,2,0,0,0,2
95,3,1,1,4,1,0,1.4,0.8,2.4,0.8,0,0,0,2
96,0,5,0,3,0,2,1.4,1.4,1.6,1.4,0,0,0,1
97,1,2,2,3,1,1,1,1.4,1.8,1.2,0,0,0,0
98,2,2,1,1,1,3,1.6,0.6,0.8,1.8,0,0,0,1
99,2,0,3,0,2,3,1.5,1.5,0.5,2.17,0,0,0,0
100,4,0,1,1,0,4,1.83,0.67,0.83,2,0,0,0,1
101,0,2,3,1,2,2,1,2.17,1.17,0.83,0,0,0,0
102,3,1,1,2,1,2,2,1,1.5,1.17,0,0,0,0
103,2,1,2,2,2,1,1.33,1.17,1.17,1.17,0,0,0,1
104,4,1,0,4,0,1,1.83,1,1.5,0.67,0,0,0,0
105,1,2,2,0,5,0,0.83,1.67,1.17,1.17,0,0,0,1
106,2,2,1,1,1,3,1.5,0.67,0.83,1.5,0,0,0,1
107,4,1,0,2,0,3,1.71,0.71,1.43,1.71,0,0,0,2
108,1,2,2,0,2,3,0.86,2,0.86,2.29,0,0,0,2
109,1,1,3,2,1,2,0.86,1.86,1.86,1.29,0,0,0,2
110,2,1,2,1,2,2,1.43,0.71,1.14,1,0,0,0,1
111,3,0,2,3,1,1,1.71,1.14,1.57,1.14,0,0,0,2
112,2,2,1,0,3,2,1,1,0.86,1.57,0,0,0,2
113,4,0,1,2,2,1,1.57,0.57,1.43,0.71,0,0,0,2
114,0,5,0,1,1,3,1.14,1.14,0.86,1.43,0,0,0,0
115,1,0,4,0,1,4,1.25,1.63,0.75,2.25,0,0,0,2
116,1,1,3,4,1,0,1.75,1.38,1.63,0.63,0,0,0,2
117,1,3,1,2,2,1,1.13,1,1,1.75,0,0,0,1
118,3,0,2,2,1,2,1.5,1.38,1,1.75,0,0,0,2
119,0,3,2,2,1,2,0.88,1.75,1.38,0.75,0,0,0,0
120,1,2,2,4,0,1,1.25,1,1.88,1.13,0,0,0,0
121,1,1,3,3,2,0,1.13,1.25,1.25,1,0,0,0,1
122,0,4,1,4,0,1,1,1.38,1.75,0.5,0,0,0,1
123,2,0,3,2,0,3,1.67,1.22,1.33,1.56,0,0,0,2
124,0,1,4,1,4,0,0.78,2.22,1.11,1,0,0,0,2
125,3,1,1,3,0,2,1.44,0.67,1.44,1.22,0,0,0,2
126,2,2,1,0,2,3,1,1.67,0.89,1.78,0,0,0,2
127,2,1,2,0,2,3,0.89,1.67,1.11,1.11,0,0,0,2
128,3,1,1,1,2,2,1.44,0.78,1.11,1.22,0,0,0,1
129,4,0,1,0,4,1,1.89,1,1.11,1.44,0,0,0,2
130,2,3,0,3,1,1,1.22,1,1.78,0.67,0,0,0,0
131,1,0,4,0,4,1,1.2,1.5,1,1,0,0,0,2
132,2,0,3,2,0,3,1.3,1.2,1.6,1.1,0,0,0,0
133,0,2,3,1,0,4,0.9,1.8,0.8,2,0,0,0,1
134,0,2,3,3,1,1,1,1.3,1.4,0.6,0,0,0,1
135,1,3,1,3,1,1,1.2,1.3,1.1,1.6,0,0,0,0
136,0,3,2,3,1,1,1,1.4,1.1,1.5,0,0,0,0
137,4,1,0,3,2,0,1.9,0.6,1.5,0.9,0,0,0,1
138,2,2,1,4,0,1,1.1,1.2,1.8,0.9,0,0,0,2
139,1,0,4,2,0,3,1.18,1.27,1.18,1.36,0,0,1,1
140,0,3,2,0,2,3,0.91,1,0.91,1.73,0,0,0,0
141,3,0,2,0,2,3,1.64,1,1,1.27,0,0,0,2
142,1,1,3,1,3,1,0.82,1.91,1.18,1.45,0,0,0,2
143,2,2,1,0,2,3,1.36,0.64,0.91,1.36,0,0,0,1
144,4,1,0,3,2,0,1.27,1.55,1.82,0.64,0,0,0,0
145,3,1,1,2,2,1,1.09,1.36,1.18,1.18,0,0,0,0
146,2,3,0,4,0,1,1.45,0.91,1.73,1,0,0,0,2
147,2,1,2,1,1,3,1.17,1.33,1.08,1.58,1,0,0,2
148,0,1,4,1,1,3,0.92,1.25,1.17,1.25,1,1,0,2
149,1,2,2,0,2,3,1.08,1.42,0.83,1.17,0,0,0,1
150,0,2,3,4,0,1,0.83,1.25,1.58,0.92,0,0,0,1
